Category,LCS Ratio (No Preprocessing),LCS Ratio (Light Preprocessing),LCS Ratio (Advanced Preprocessing),"LCS Ratio (By Sentence, Advanced Pre)",LCS Ratio (no stop words),"LCS Ratio (no stop words, advanced pre)","LCS Ratio (no stop words, light pre)","LCS Ratio (no stop words, alphabetical)"
heavy,0.3122,0.3122,0.33981,0.54854,0.21739,0.23529,0.21739,0.28889
light,0.36792,0.36792,0.40278,0.59259,0.31452,0.33036,0.31452,0.36752
cut,0.47521,0.47521,0.4856,0.65984,0.45299,0.48214,0.45299,0.50427
non,0.24324,0.24324,0.2487,0.51031,0.14634,0.2,0.14634,0.22892
non,0.1871,0.1871,0.2236,0.40373,0.1,0.125,0.1,0.12987
non,0.26903,0.26904,0.28283,0.57071,0.10227,0.08642,0.10227,0.12048
heavy,0.40083,0.40083,0.45492,0.67213,0.40476,0.45217,0.40476,0.51667
light,0.4011,0.4011,0.41848,0.625,0.34444,0.38667,0.34444,0.3494
cut,0.60726,0.60726,0.59935,0.76052,0.58824,0.58621,0.58824,0.61438
light,0.47005,0.47005,0.49541,0.68349,0.43119,0.47573,0.43119,0.48182
cut,0.39209,0.39209,0.4,0.62324,0.35135,0.35714,0.35135,0.35172
non,0.23729,0.23729,0.24167,0.44167,0.22807,0.22222,0.22807,0.25424
non,0.21918,0.21918,0.26027,0.46939,0.12821,0.20588,0.12821,0.22222
heavy,0.29703,0.29703,0.31863,0.61765,0.25532,0.32558,0.25532,0.32292
non,0.12857,0.12857,0.14841,0.36042,0.0458,0.05833,0.0458,0.05556
heavy,0.43846,0.43846,0.44275,0.65649,0.344,0.32759,0.344,0.38655
light,0.79757,0.79757,0.8,0.84898,0.84559,0.85965,0.84559,0.84553
cut,0.42683,0.42683,0.43465,0.64458,0.42515,0.43919,0.42515,0.44304
non,0.20093,0.20093,0.21963,0.52804,0.12698,0.15789,0.12698,0.192
non,0.14342,0.14343,0.1581,0.36614,0.07692,0.09677,0.07692,0.11111
non,0.22642,0.22642,0.23256,0.55556,0.15534,0.17895,0.15534,0.19192
heavy,0.28358,0.28358,0.31034,0.53695,0.31132,0.34375,0.31132,0.38384
light,0.91532,0.91532,0.91968,0.92771,0.85821,0.85366,0.85821,0.80153
cut,0.97398,0.97398,0.98529,1,0.9507,0.97015,0.9507,0.93706
cut,0.66502,0.66502,0.67157,0.80392,0.67,0.67368,0.67,0.65714
non,0.31868,0.31868,0.35165,0.58791,0.23377,0.22857,0.23377,0.27143
non,0.18965,0.18966,0.21212,0.51948,0.13793,0.14953,0.13793,0.16964
heavy,0.32365,0.32365,0.3431,0.71074,0.2782,0.30081,0.2782,0.29771
light,0.31,0.31,0.31905,0.67619,0.27723,0.30612,0.27723,0.33645
heavy,0.50872,0.50872,0.55043,0.73775,0.5,0.59589,0.5,0.58333
light,0.73585,0.73585,0.7625,0.79755,0.80263,0.83099,0.80263,0.83562
cut,0.16667,0.16667,0.17544,0.40351,0.04615,0.06557,0.04615,0.09231
non,0.18405,0.18405,0.2037,0.40491,0.07407,0.15493,0.07407,0.15789
non,0.24294,0.24294,0.26667,0.53889,0.15663,0.1875,0.15663,0.21348
non,0.19598,0.19598,0.21106,0.48744,0.125,0.14607,0.125,0.16129
heavy,0.4354,0.43541,0.47847,0.75238,0.33684,0.41463,0.33684,0.6
light,0.48485,0.48485,0.52108,0.72289,0.51497,0.55128,0.51497,0.52147
cut,0.96587,0.96587,0.97611,0.98976,0.94444,0.96575,0.94444,0.92715
non,0.20565,0.20565,0.21285,0.54618,0.14035,0.14563,0.14035,0.15455
non,0.15764,0.15764,0.16268,0.38756,0.08081,0.10309,0.08081,0.1068
non,0.21477,0.21477,0.23026,0.5,0.13235,0.15504,0.13971,0.16031
heavy,0.23721,0.23721,0.28571,0.53456,0.23364,0.30526,0.23585,0.34694
light,0.48485,0.48485,0.49624,0.62406,0.44286,0.46269,0.44286,0.4507
cut,0.86029,0.86029,0.88235,1,0.83824,0.87302,0.83824,0.88571
cut,0.99206,0.99206,0.99225,0.99231,0.98438,0.98333,0.98438,0.88889
non,0.24444,0.24444,0.27222,0.49444,0.15584,0.19718,0.15584,0.24324
non,0.2233,0.2233,0.2381,0.35849,0.17241,0.14,0.17241,0.13725
heavy,0.61905,0.61905,0.61321,0.74528,0.63462,0.6383,0.63462,0.68
light,0.78,0.78,0.81,0.88,0.74545,0.78431,0.74545,0.75472
non,0.16336,0.16337,0.17822,0.45631,0.06195,0.08824,0.06195,0.09524
non,0.2279,0.22791,0.23394,0.45205,0.10185,0.11,0.10185,0.14423
heavy,0.62319,0.62319,0.65385,0.73684,0.63,0.65517,0.63,0.70833
light,0.744,0.74396,0.76555,0.83333,0.71818,0.75,0.71818,0.66667
cut,0.9292,0.9292,0.92625,0.9646,0.90426,0.90116,0.90426,0.9086
cut,0.85159,0.85159,0.85069,1,0.84247,0.84672,0.84247,0.83673
non,0.24581,0.24581,0.26966,0.53073,0.15556,0.17722,0.15556,0.17647
non,0.18852,0.18852,0.2,0.4,0.13514,0.1194,0.13514,0.15493
heavy,0.90845,0.90845,0.92171,0.97865,0.88235,0.91111,0.88235,0.7972
light,0.8937,0.8937,0.89412,0.94882,0.88372,0.88333,0.88372,0.86614
light,0.42079,0.42079,0.45545,0.63861,0.39216,0.46154,0.39216,0.43564
cut,0.2438,0.2438,0.24793,0.48163,0.15152,0.12605,0.15152,0.14961
non,0.15102,0.15102,0.17004,0.40891,0.1129,0.12281,0.1129,0.12903
non,0.19556,0.19556,0.21973,0.44395,0.10435,0.12963,0.10435,0.15517
heavy,0.592,0.592,0.6129,0.7751,0.60769,0.66667,0.60769,0.672
heavy,0.18812,0.18812,0.22277,0.46117,0.12245,0.17391,0.12245,0.18692
light,0.82278,0.82278,0.83475,0.97095,0.79675,0.81481,0.79675,0.8125
cut,0.25481,0.25481,0.2783,0.59434,0.20661,0.2087,0.20661,0.25
non,0.13725,0.13725,0.16019,0.33333,0.06349,0.10435,0.06349,0.1
non,0.24359,0.24359,0.24686,0.49791,0.17797,0.18349,0.17797,0.17544
